Isolate,Sample_Type,Day1_Rep1,Day1_Rep2,Day1_Rep3,Day1_Rep4,Day1_Rep5,Day2_Rep1,Day2_Rep2,Day2_Rep3,Day2_Rep4,Day2_Rep5,Day3_Rep1,Day3_Rep2,Day3_Rep3,Day3_Rep4,Day3_Rep5,Day4_Rep1,Day4_Rep2,Day4_Rep3,Day4_Rep4,Day4_Rep5,Day5_Rep1,Day5_Rep2,Day5_Rep3,Day5_Rep4,Day5_Rep5,Day6_Rep1,Day6_Rep2,Day6_Rep3,Day6_Rep4,Day6_Rep5
SE19,Query,0.0451,0.0435,0.0474,0.0454,0.0432,0.0453,0.0431,0.0484,0.0441,0.0456,0.1057,0.1075,0.1595,0.1197,0.1519,0.0977,0.0977,0.1768,0.1277,0.1972,0.0857,0.1029,0.2026,0.0961,0.2188,0.0954,0.0912,0.1924,0.0977,0.2196
SE20,Query,0.042,0.0423,0.0422,0.0424,0.0421,0.159,0.2076,0.1895,0.2177,0.2047,0.1751,0.24,0.2536,0.2425,0.2859,0.1583,0.2053,0.223,0.2914,0.2728,0.1082,0.1581,0.199,0.2169,0.2773,0.0829,0.1021,0.1555,0.2054,0.3045
SE21,Query,0.0458,0.045,0.0448,0.044,0.045,0.1698,0.1721,0.1961,0.1599,0.2022,0.1775,0.2766,0.1813,0.2346,0.284,0.218,0.2171,0.2773,0.2907,0.257,0.1946,0.2238,0.2252,0.237,0.2079,0.244,0.2062,0.204,0.2197,0.2367
SE22,Query,0.0465,0.0485,0.0473,0.0472,0.0501,0.0834,0.0768,0.0801,0.0818,0.0815,0.1111,0.2284,0.1055,0.1829,0.1095,0.0968,0.1844,0.0878,0.1803,0.1017,0.0894,0.1921,0.0816,0.2643,0.1409,0.0977,0.2242,0.08,0.3297,0.1293
SE23,Query,0.0489,0.0486,0.0522,0.0495,0.049,0.0848,0.083,0.0866,0.0877,0.0896,0.1123,0.1087,0.1178,0.1225,0.1848,0.1178,0.1235,0.1428,0.1508,0.2418,0.1286,0.136,0.1421,0.1474,0.3826,0.1366,0.1488,0.1622,0.1625,0.3019
SE24,Query,0.0452,0.0488,0.0481,0.0466,0.045,0.1481,0.1378,0.152,0.1643,0.1815,0.2049,0.2333,0.2912,0.305,0.2288,0.2648,0.2509,0.2595,0.2682,0.2723,0.247,0.3115,0.5295,0.4695,0.2018,0.2258,0.2556,0.5028,0.44,0.1934
SE25,Query,0.0438,0.0442,0.0457,0.0459,0.0445,0.1999,0.2074,0.1885,0.2003,0.2084,0.2892,0.4353,0.311,0.2699,0.4293,0.4348,0.4398,0.3171,0.3127,0.4251,0.5209,0.4957,0.5003,0.429,0.3393,0.4754,0.3531,0.3632,0.4567,0.2823
SE26,Query,0.0466,0.0429,0.043,0.0435,0.049,0.1677,0.1628,0.1562,0.1644,0.1645,0.2648,0.2584,0.2469,0.3025,0.3036,0.3692,0.3359,0.3838,0.4059,0.2589,0.431,0.5588,0.5501,0.4902,0.2663,0.7218,0.6406,0.7356,0.2868,0.5693
SE27,Query,0.0434,0.0438,0.0464,0.0437,0.0435,0.1801,0.1749,0.1726,0.1773,0.1647,0.2768,0.24,0.2554,0.2654,0.4021,0.3814,0.292,0.2728,0.3228,0.4547,0.3298,0.2713,0.8503,0.7956,0.3912,0.3262,0.2519,1.0586,0.7496,0.2792
SE28,Query,0.0447,0.0431,0.0429,0.0436,0.0428,0.1801,0.1791,0.1795,0.1911,0.1907,0.2926,0.2823,0.2897,0.2483,0.2452,0.3622,0.3703,0.3601,0.3095,0.2939,0.382,0.4128,0.4142,0.4062,0.3572,0.3943,0.381,0.4749,0.4648,0.4018
SE29,Query,0.042,0.0381,0.0425,0.0413,0.0439,0.1054,0.0719,0.0905,0.0791,0.0694,0.2312,0.1083,0.233,0.193,0.2425,0.3864,0.1127,0.3015,0.206,0.3134,0.519,0.1212,0.5698,0.2124,0.3404,0.4593,0.1399,0.336,0.2479,0.3604
SE30,Query,0.0497,0.0481,0.0484,0.0511,0.0476,0.204,0.2035,0.1879,0.2001,0.2149,0.1968,0.2052,0.1885,0.1918,0.2202,0.4607,0.3683,0.3465,0.3207,0.345,0.6215,0.5096,0.5557,0.4991,0.5194,0.3936,0.3817,0.3232,0.3204,0.313
SE31,Query,0.0445,0.049,0.0456,0.0446,0.0527,0.1206,0.113,0.0961,0.0912,0.1221,0.3006,0.3488,0.3055,0.3008,0.187,0.5159,0.4552,0.6523,0.285,0.3479,0.3328,0.326,0.3134,0.3305,0.3105,0.5089,0.3825,0.4006,0.2849,0.3208
SE32,Query,0.0536,0.044,0.0435,0.044,0.0437,0.2488,0.2195,0.2197,0.2404,0.2179,0.5422,0.3171,0.358,0.3696,0.2275,0.5244,0.2691,0.3713,0.3602,0.2643,0.2734,0.2645,0.383,0.4545,0.258,0.316,0.2892,0.3234,0.2921,0.2895
SE35,Query,0.0519,0.046,0.0436,0.0436,0.0442,0.1583,0.1816,0.1739,0.171,0.1754,0.1688,0.238,0.2434,0.1925,0.2042,0.1607,0.5149,0.485,0.2029,0.2441,0.1922,0.6853,0.6163,0.2126,0.2218,0.2435,0.5545,0.5295,0.2113,0.2218
SE36,Query,0.0455,0.0453,0.0462,0.0451,0.0445,0.1576,0.1604,0.1691,0.1647,0.17,0.1745,0.1951,0.4705,0.207,0.3699,0.1952,0.2168,0.6318,0.1995,0.4045,0.1924,0.214,0.4228,0.2145,0.381,0.1912,0.2109,0.388,0.2161,0.431
SE38,Query,0.0509,NA,0.0479,0.045,0.054,0.1021,NA,0.0968,0.0993,0.0993,0.1026,NA,0.079,0.0924,0.0957,0.1109,NA,0.0836,0.1012,0.0961,0.1495,NA,0.1168,0.1187,0.1057,0.162,NA,0.1385,0.1392,0.1222
SE41,Query,0.0491,0.0435,0.045,NA,0.0434,0.1059,0.1057,0.114,NA,0.1197,0.0747,0.082,0.0831,NA,0.1183,0.0814,0.0851,0.0872,NA,0.0896,0.0887,0.0845,0.0895,NA,0.0883,0.1155,0.1054,0.1308,NA,0.1101
SE42,Query,0.0431,0.043,0.0433,0.0473,0.0436,0.1621,0.154,0.1598,0.1468,0.1396,0.2575,0.199,0.1518,0.168,0.1962,0.4658,0.4749,0.2452,0.1872,0.2269,0.1818,0.5827,0.2379,0.1534,0.2752,0.2311,0.3905,0.3031,0.1779,0.1965
SE43,Query,0.0426,0.0448,0.0444,0.0425,NA,0.095,0.0922,0.0934,0.0966,NA,0.0804,0.0661,0.0688,0.069,NA,0.0921,0.0731,0.0674,0.0698,NA,0.0777,0.0707,0.0671,0.1302,NA,0.0833,0.0756,0.0716,0.0738,NA
SE44,Query,0.041,0.0427,0.0398,0.0417,0.044,0.0424,0.041,0.0402,0.0465,0.046,0.0408,0.043,0.0399,0.0422,0.0439,0.0439,0.0399,0.0387,0.0427,0.0405,0.0756,0.0698,0.0383,0.0392,0.0392,0.0725,0.0637,0.0371,0.0372,0.0528
SE48,Query,0.0523,0.0419,0.0414,0.0436,0.0452,0.1069,0.1243,0.1256,0.1343,0.0912,0.1455,0.1652,0.0918,0.1397,0.0793,0.0886,0.0889,0.0977,0.0869,0.0779,0.0688,0.0705,0.1128,0.0574,0.0657,0.062,0.0621,0.1082,0.0443,0.064
SE53,Query,0.0417,0.0488,0.0444,0.0457,0.0438,0.0409,0.0468,0.0486,0.0441,0.0481,0.0422,0.0476,0.0464,0.1171,0.1312,0.1246,0.0663,0.0598,0.1665,0.1713,0.1725,0.0831,0.08,0.1852,0.1729,0.1962,0.0947,0.0908,0.2315,0.2092
SE54,Query,0.0425,0.0416,0.0414,0.0433,0.0423,0.0409,0.0411,0.039,0.04,0.0411,0.047,0.0425,0.04,0.0405,0.0412,0.0483,0.0426,0.0385,0.0404,0.0476,0.0698,0.0436,0.0718,0.0938,0.1009,0.0646,0.0844,0.0993,0.1075,0.1263
SE58,Query,0.044,0.0414,0.0432,0.0416,0.0439,0.0419,0.0415,0.0398,0.0411,0.0431,0.0493,0.0443,0.0413,0.0448,0.0436,0.0675,0.0624,0.0594,0.0563,0.0581,0.0808,0.0775,0.0929,0.0743,0.0912,0.1104,0.1058,0.148,0.1568,0.1201
SE60,Query,0.0416,0.0408,0.0423,0.0404,0.0414,0.0405,0.0425,0.0404,0.0402,0.0433,0.2045,0.0433,0.0624,0.1906,0.0465,0.338,0.328,0.3159,0.3193,0.1377,0.9843,0.759,0.4608,0.3026,0.5133,0.8659,0.8474,0.3853,0.2849,0.7257
SE61,Query,0.044,0.0451,0.045,0.0437,0.045,0.0702,0.0761,0.075,0.0874,0.0828,0.448,0.4267,0.2545,0.3028,0.3138,0.6205,0.6575,0.6656,0.5273,0.4439,0.5217,0.4765,0.4638,0.5889,0.6131,0.6142,0.4706,0.6367,0.6011,0.808
SE62,Query,0.0437,0.0434,0.0436,0.0439,0.0454,0.0445,0.0454,0.0436,0.044,0.045,0.2179,0.0501,0.2076,0.237,0.1113,0.6576,0.0844,0.5678,0.6052,0.2846,0.7596,0.2178,1.1084,1.084,0.4626,0.936,0.3285,0.7874,0.9083,0.329
SE67,Query,0.0426,0.0435,0.0446,0.049,0.0454,0.0503,0.0484,0.0473,0.0554,0.0673,0.0447,0.0463,0.0457,0.0537,0.0611,0.0532,0.0459,0.0476,0.072,0.0544,0.2322,0.0773,0.108,0.2705,0.2785,0.4013,0.1922,0.2192,0.7891,0.4638
Positive,Positive,0.0492,0.0409,0.0423,0.0425,0.0504,0.117,0.0845,0.1391,0.1038,0.1134,0.5358,0.2915,0.3391,0.2423,0.3748,0.7015,0.7908,0.4434,0.274,0.6073,0.8727,0.936,0.8083,1.1194,0.6547,0.8789,0.8209,0.9523,0.9358,0.4246
