site_id,Day,Month,Year,survey_date,surveyor1,pit_tag_id,pit_tag_status,frog_sex,frog_state,frog_location,total_weight,bag_weight,frog_weight,frog_svl,swab_id,swab_id_full,swabber_name,frog_comments,ZE,lifestage,gosner_stage
14277,25,7,2013,7/25/13,Knapp,1.21019E+11,Y,M,healthy,outlet,9,2,7,40,1325,DESO1325,Knapp,In ephemeral stream that runs from Waca Lake to 14292.,1.232,Adult,NA
14309,24,7,2013,7/24/13,Kauffman,1.18001E+11,Y,M,healthy,inlet,10.5,2,8.5,40,1380,DESO1380,Kauffman,NA,0,Adult,NA
14309,24,7,2013,7/24/13,Kauffman,1.18001E+11,Y,M,healthy,outlet,9,2,7,40,1373,DESO1373,Kauffman,NA,92,Adult,NA
14221,21,8,2013,8/21/13,Kauffman,1.18001E+11,Y,M,healthy,fringing_habitat,10.5,2,8.5,40,1450,DESO1450,Kauffman,NA,1.136,Adult,NA
14221,21,8,2013,8/21/13,Kauffman,1.18001E+11,Y,M,healthy,fringing_habitat,11,1,10,40,1449,DESO1449,Kauffman,NA,1.416,Adult,NA
14221,23,8,2013,8/23/13,Knapp,1.18001E+11,Y,F,healthy,fringing_habitat,9,2,7,40,1472,DESO1472,Knapp,NA,127.2,Adult,NA
14277,25,7,2013,7/25/13,Knapp,1.21019E+11,Y,F,healthy,outlet,9,2,7,40.3,1320,DESO1320,Knapp,Pond off of outlet,58.72,Adult,NA
14309,23,7,2013,7/23/13,Knapp,1.21019E+11,Y,M,healthy,inlet,8.5,2,6.5,40.3,1274,DESO1274,Knapp,NA,9.92,Adult,NA
14221,11,9,2013,9/11/13,Knapp,1.18001E+11,Y,F,healthy,fringing_habitat,8.5,2,6.5,40.4,1649,DESO1649,Knapp,NA,192,Adult,NA
14221,10,9,2013,9/10/13,Knapp,1.18001E+11,Y,F,healthy,in_lake,10,2,8,40.6,1636,DESO1636,Ellison,NA,0,Adult,NA
14221,10,9,2013,9/10/13,Knapp,1.18001E+11,Y,M,healthy,in_lake,9.5,2,7.5,40.7,1631,DESO1631,Knapp,NA,0,Adult,NA
14221,11,9,2013,9/11/13,Knapp,1.18001E+11,Y,F,healthy,in_lake,10,2,8,40.9,1665,DESO1665,Ellison,NA,0,Adult,NA
14221,17,6,2014,6/17/14,Knapp,1.18001E+11,Y,F,Healthy,in_lake,10,2,8,41,1885,DESO1885,Knapp,NA,12.32,Adult,NA
14309,17,6,2014,6/17/14,Kauffman,1.18001E+11,Y,M,Healthy,inlet,10,2,8,41,1830,DESO1830,Kauffman,NA,0,Adult,NA
14309,19,6,2014,6/19/14,Kauffman,1.18001E+11,Y,M,Healthy,in_lake,11,2,9,41,1955,DESO1955,Kauffman,Translocated to Jabu Lake on 6/20/14.,54,Adult,NA
14235,1,7,2014,7/1/14,Knapp,9.00043E+14,NA,F,Healthy,in_lake,10,2,8,41,1996,DESO1996,Knapp,On SW shore.,7.192,Adult,NA
54963,17,7,2014,7/17/14,Atkinson,9.82E+14,Y,F,Healthy,in_lake,11,2,9,41,1990,DESO1990,Atkinson,NA,0,Adult,NA
52646,18,7,2014,7/18/14,Kauffman,9.00043E+14,Y,F,Healthy,outlet,9,2,7,41,2088,DESO2088,Kauffman,NA,93.6,Adult,NA
14309,18,7,2014,7/18/14,Kauffman,9.00043E+14,Y,M,Healthy,outlet,11,2,9,41,2222,DESO2222,Atkinson,NA,51.92,Adult,NA
14309,10,9,2014,9/10/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,11,2,9,41,2531,DESO2531,Atkinson,NA,21.68,Adult,NA
14221,19,6,2014,6/19/14,Knapp,9.82E+14,NA,M,Healthy,in_lake,10,2,8,41,1992,DESO1992,Vredenburg,NA,16.48,Adult,NA
14309,17,6,2014,6/17/14,Kauffman,1.18001E+11,Y,M,Healthy,outlet,11,2,9,41,1746,DESO1746,Kauffman,NA,0.06696,Adult,NA
14309,22,8,2013,8/22/13,Kauffman,1.18001E+11,Y,F,healthy,inlet,9.5,2,7.5,41,1479,DESO1479,Kauffman,NA,75.92,Adult,NA
14277,24,7,2013,7/24/13,Atkinson,1.18001E+11,Y,M,healthy,outlet,11,2,9,41,1243,DESO1243,Atkinson,NA,0,Adult,NA
14307,24,7,2013,7/24/13,Kauffman,1.18001E+11,Y,M,healthy,in_lake,10,2,8,41,1382,DESO1382,Kauffman,NA,204.8,Adult,NA
14221,10,9,2013,9/10/13,Knapp,1.18001E+11,NA,M,healthy,fringing_habitat,10.5,2,8.5,41,1614,DESO1614,Knapp,NA,11.92,Adult,NA
14309,23,8,2013,8/23/13,Kauffman,1.18001E+11,Y,M,healthy,inlet,10.5,2,8.5,41,1522,DESO1522,Kauffman,NA,0.524,Adult,NA
14309,21,8,2013,8/21/13,Knapp,1.18001E+11,Y,M,healthy,outlet,8.5,2,6.5,41.1,1331,DESO1331,Knapp,NA,23.84,Adult,NA
54962,23,7,2013,7/23/13,Knapp,1.18001E+11,Y,M,healthy,in_lake,9.5,2,7.5,41.1,1280,DESO1280,Knapp,A bit skinny.,46.24,Adult,NA
14221,22,8,2013,8/22/13,Knapp,1.18001E+11,Y,M,healthy,fringing_habitat,9,2,7,41.2,1566,DESO1566,Ellison,NA,0.00232,Adult,NA
14309,21,6,2013,6/21/13,Knapp,1.21019E+11,Y,M,healthy,outlet,10.5,2,8.5,41.2,1122,DESO1122,Vredenburg,NA,0,Adult,NA
14221,25,7,2013,7/25/13,Kauffman,1.18001E+11,Y,M,healthy,fringing_habitat,12,2,10,41.4,1156,DESO1156,Kauffman,Culture taken,0,Adult,NA
14310,24,7,2013,7/24/13,Atkinson,1.18001E+11,Y,M,healthy,in_lake,11,2,9,41.4,1246,DESO1246,Atkinson,NA,0,Adult,NA
14221,24,7,2013,7/24/13,Knapp,1.18001E+11,Y,M,healthy,in_lake,10,2,8,41.5,1311,DESO1311,Knapp,NA,1.592,Adult,NA
14309,21,8,2013,8/21/13,Knapp,1.21019E+11,NA,M,healthy,inlet,9.5,2,7.5,41.5,1357,DESO1357,Knapp,NA,4.92,Adult,NA
14221,23,7,2013,7/23/13,Atkinson,1.18001E+11,Y,M,healthy,fringing_habitat,11.5,2,9.5,41.5,1231,DESO1231,Atkinson,NA,0,Adult,NA
14309,25,7,2013,7/25/13,Knapp,1.18001E+11,Y,M,healthy,inlet,11,2,9,41.5,1341,DESO1341,Atkinson,NA,93.6,Adult,NA
14309,21,8,2013,8/21/13,Knapp,1.18001E+11,Y,M,healthy,outlet,8.5,2,6.5,41.6,1355,DESO1355,Knapp,NA,22.96,Adult,NA
14221,23,7,2013,7/23/13,Atkinson,1.18001E+11,Y,M,healthy,in_lake,12,2,10,41.6,1215,DESO1215,Atkinson,NA,0.1768,Adult,NA
14292,25,7,2013,7/25/13,Knapp,1.18001E+11,Y,M,healthy,fringing_habitat,10.5,2,8.5,41.7,1328,DESO1328,Knapp,NA,229.6,Adult,NA
14221,22,8,2013,8/22/13,Knapp,1.18001E+11,Y,M,healthy,in_lake,9.5,2,7.5,41.7,1559,DESO1559,Ellison,NA,0,Adult,NA
14221,22,8,2013,8/22/13,Knapp,1.18001E+11,Y,M,healthy,fringing_habitat,12,2,10,41.8,1421,DESO1421,Knapp,NA,109.6,Adult,NA
